year,state,fips,table_data,high_value,low_value,cpi,high_2018,low_2018
1968,Alabama,1,1.34,1.34,1.34,34.78,9.89,9.89
1968,Alaska,2,2.10,2.10,2.10,34.78,15.12,15.12
1968,Arizona,4,0.13,0.66,0.47,34.78,4.75,3.37
1968,Arkansas,5,0.05,0.16,0.16,34.78,1.12,1.12
1968,California,6,1.65,1.65,1.65,34.78,11.88,11.88
1968,Colorado,8,1.13,1.25,1.00,34.78,9.00,7.20
1968,Connecticut,9,1.40,1.40,1.40,34.78,10.08,10.08
1968,Delaware,10,1.25,1.25,1.25,34.78,9.00,9.00
1968,District of Columbia,,1.33,1.40,1.25,34.78,10.08,9.00
1968,Federal (FLSA),,1.34,1.60,1.15,34.78,11.52,8.28
1968,Florida,12,1.34,1.34,1.34,34.78,9.89,9.89
1968,Georgia,13,1.34,1.34,1.34,34.78,9.89,9.89
1968,Hawaii,15,1.25,1.25,1.25,34.78,9.00,9.00
1968,Idaho,16,1.15,1.15,1.15,34.78,8.28,8.28
1968,Illinois,17,1.34,1.34,1.34,34.78,9.89,9.89
1968,Indiana,18,1.15,1.15,1.15,34.78,8.28,8.28
1968,Iowa,19,1.34,1.34,1.34,34.78,9.89,9.89
1968,Kansas,20,1.34,1.34,1.34,34.78,9.89,9.89
1968,Kentucky,21,0.70,0.75,0.65,34.78,5.40,4.68
1968,Louisiana,22,1.34,1.34,1.34,34.78,9.89,9.89
1968,Maine,23,1.40,1.40,1.40,34.78,10.08,10.08
1968,Maryland,24,1.08,1.15,1.00,34.78,8.28,7.20
1968,Massachusetts,25,1.60,1.60,1.60,34.78,11.52,11.52
1968,Michigan,26,1.25,1.25,1.25,34.78,9.00,9.00
1968,Minnesota,27,0.93,1.15,0.70,34.78,8.28,5.04
1968,Mississippi,28,1.34,1.34,1.34,34.78,9.89,9.89
1968,Missouri,29,1.34,1.34,1.34,34.78,9.89,9.89
1968,Montana,30,1.34,1.34,1.34,34.78,9.89,9.89
1968,Nebraska,31,1.00,1.00,1.00,34.78,7.20,7.20
1968,Nevada,32,1.25,1.25,1.25,34.78,9.00,9.00
1968,New Hampshire,33,1.40,1.40,1.40,34.78,10.08,10.08
1968,New Jersey,34,1.40,1.40,1.40,34.78,10.08,10.08
1968,New Mexico,35,1.28,1.40,1.15,34.78,10.08,8.28
1968,New York,36,1.60,1.60,1.60,34.78,11.52,11.52
1968,North Carolina,37,1.00,1.00,1.00,34.78,7.20,7.20
1968,North Dakota,38,1.13,1.25,1.00,34.78,9.00,7.20
1968,Ohio,39,1.00,1.25,0.75,34.78,9.00,5.40
1968,Oklahoma,40,1.00,1.00,1.00,34.78,7.20,7.20
1968,Oregon,41,1.25,1.25,1.25,34.78,9.00,9.00
1968,Pennsylvania,42,1.15,1.15,1.15,34.78,8.28,8.28
1968,Rhode Island,44,1.40,1.40,1.40,34.78,10.08,10.08
1968,South Carolina,45,1.34,1.34,1.34,34.78,9.89,9.89
1968,South Dakota,46,0.11,0.50,0.43,34.78,3.60,3.06
1968,Tennessee,47,1.34,1.34,1.34,34.78,9.89,9.89
1968,Texas,48,1.34,1.34,1.34,34.78,9.89,9.89
1968,Utah,49,1.45,1.15,1.00,34.78,8.28,7.20
